"INDEX","KEYVALUE.x","LABEL.x","RED.x","GREEN.x","BLUE.x","ALPHA.x","HEMISPHERE.x","NETWORK.x","NETWORKKEY.x","NETWORKSORTEDORDER.x","GLASSERLABELNAME.x","KEYVALUE.y","LABEL.y","RED.y","GREEN.y","BLUE.y","ALPHA.y","HEMISPHERE.y","NETWORK.y","NETWORKKEY.y","NETWORKSORTEDORDER.y","GLASSERLABELNAME.y","netho_diff_beta","netho_diff_t","netho_diff_para_p","netho_diff_para_q","netho_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
228,228,"Visual2-16_R-Ctx",100,0,255,255,"R","Visual2",2,112,"R_LIPv_ROI",228,"Visual2-16_R-Ctx",100,0,255,255,"R","Visual2",2,112,"R_LIPv_ROI",0.0967950415565294,0.787389797227317,0.431698988554443,0.708581788110051,NA,0.741066869555826,0.225164334072724,0.746095672001332,0.244424829549411
229,229,"Visual2-17_R-Ctx",100,0,255,255,"R","Visual2",2,113,"R_VIP_ROI",229,"Visual2-17_R-Ctx",100,0,255,255,"R","Visual2",2,113,"R_VIP_ROI",0.186953571397101,1.65672260737919,0.0986607846094998,0.301098678762102,NA,0.722175866014437,0.250090941125419,0.743671976237874,0.24532329246651
230,230,"Dorsal-Attention-02_R-Ctx",0,255,0,255,"R","Dorsal-Attention",5,328,"R_MIP_ROI",230,"Dorsal-Attention-02_R-Ctx",0,255,0,255,"R","Dorsal-Attention",5,328,"R_MIP_ROI",0.0130536358521858,0.110421515214435,0.912151731814271,0.970605568577331,NA,0.752172776530698,0.231937644814997,0.742904997428754,0.225979431951868
231,231,"Somatomotor-09_R-Ctx",0,255,255,255,"R","Somatomotor",3,180,"R_1_ROI",231,"Somatomotor-09_R-Ctx",0,255,255,255,"R","Somatomotor",3,180,"R_1_ROI",-0.317017304897407,-2.76826644131474,0.00599963495228072,0.0579114076172891,NA,0.324188983033651,0.138756597145079,0.274291249441835,0.129213524221886
232,232,"Somatomotor-10_R-Ctx",0,255,255,255,"R","Somatomotor",3,181,"R_2_ROI",232,"Somatomotor-10_R-Ctx",0,255,255,255,"R","Somatomotor",3,181,"R_2_ROI",0.0209519763681804,0.161859485736059,0.871529609835952,0.955575193689011,NA,0.406477410371266,0.140522918909086,0.409215721663672,0.15762901955312
233,233,"Somatomotor-11_R-Ctx",0,255,255,255,"R","Somatomotor",3,182,"R_3a_ROI",233,"Somatomotor-11_R-Ctx",0,255,255,255,"R","Somatomotor",3,182,"R_3a_ROI",-0.252656832534153,-2.07668172096191,0.0387144088202229,0.194643357499048,NA,0.382033196068711,0.118346749893762,0.351057641286974,0.118720470771827
234,234,"Somatomotor-12_R-Ctx",0,255,255,255,"R","Somatomotor",3,183,"R_6d_ROI",234,"Somatomotor-12_R-Ctx",0,255,255,255,"R","Somatomotor",3,183,"R_6d_ROI",0.107317464364891,0.869759682139309,0.385153551609807,0.667474844294666,NA,0.432073704164716,0.174637129937844,0.449009714737326,0.180031015673424
235,235,"Somatomotor-13_R-Ctx",0,255,255,255,"R","Somatomotor",3,184,"R_6mp_ROI",235,"Somatomotor-13_R-Ctx",0,255,255,255,"R","Somatomotor",3,184,"R_6mp_ROI",0.623727341491847,4.32414274586216,2.11031008706859e-05,0.00139769352329772,0.623727341491847,0.408211166065388,0.12617161993145,0.477060568908654,0.169177062882983
236,236,"Somatomotor-14_R-Ctx",0,255,255,255,"R","Somatomotor",3,185,"R_6v_ROI",236,"Somatomotor-14_R-Ctx",0,255,255,255,"R","Somatomotor",3,185,"R_6v_ROI",0.0309737072614524,0.23613142709767,0.813497949633458,0.934925519052295,NA,0.466788259396998,0.144455612294333,0.466900426271514,0.165652646152085
237,237,"Cingulo-Opercular-09_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,253,"R_p24pr_ROI",237,"Cingulo-Opercular-09_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,253,"R_p24pr_ROI",-0.0989276860655917,-0.744076104774936,0.45743498164457,0.736584229469583,NA,0.487509342971587,0.141587562409066,0.470824695026088,0.164462331142646
238,238,"Frontoparietal-04_R-Ctx",255,255,0,255,"R","Frontoparietal",7,424,"R_33pr_ROI",238,"Frontoparietal-04_R-Ctx",255,255,0,255,"R","Frontoparietal",7,424,"R_33pr_ROI",0.0208778671411927,0.169145921398397,0.865800193757554,0.952513618401993,NA,0.502008244722637,0.150299304260257,0.506040945176003,0.155093491093786
239,239,"Cingulo-Opercular-10_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,254,"R_a24pr_ROI",239,"Cingulo-Opercular-10_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,254,"R_a24pr_ROI",-0.314969177716106,-2.71240231163535,0.00708020581629903,0.0631983142648276,NA,0.671380373529208,0.18316544753717,0.601128708193279,0.176598043608603
240,240,"Cingulo-Opercular-11_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,255,"R_p32pr_ROI",240,"Cingulo-Opercular-11_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,255,"R_p32pr_ROI",0.0505140631636808,0.403474953111846,0.686897213503609,0.896608062964491,NA,0.653247272268073,0.178484879802648,0.64816926996421,0.196631995664941
241,241,"Default-07_R-Ctx",255,0,0,255,"R","Default",9,589,"R_a24_ROI",241,"Default-07_R-Ctx",255,0,0,255,"R","Default",9,589,"R_a24_ROI",-0.399740918354147,-3.17436126162941,0.0016637760091457,0.0249659829335761,-0.399740918354147,0.555807117134392,0.17438057513602,0.490458896952805,0.188732320548591
242,242,"Frontoparietal-05_R-Ctx",255,255,0,255,"R","Frontoparietal",7,425,"R_d32_ROI",242,"Frontoparietal-05_R-Ctx",255,255,0,255,"R","Frontoparietal",7,425,"R_d32_ROI",-0.385801105445131,-3.15001932797524,0.00180373211870286,0.0257572946550769,-0.385801105445131,0.504367379946031,0.142573654647592,0.446442405235312,0.145900135305643
