"INDEX","KEYVALUE","LABEL","RED","GREEN","BLUE","ALPHA","HEMISPHERE","NETWORK","NETWORKKEY","NETWORKSORTEDORDER","GLASSERLABELNAME","rsfa_diff_beta","rsfa_diff_t","rsfa_diff_para_p","rsfa_diff_para_q","rsfa_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
89,89,"Frontoparietal-39_L-Ctx",255,255,0,255,"L","Frontoparietal",7,409,"L_a10p_ROI",0.0545159626712269,0.362686644331997,0.717104078380091,0.81727099726493,NA,22.3980590191048,9.6997976125684,24.1483155590308,14.7697581876743
90,90,"Default-58_L-Ctx",255,0,0,255,"L","Default",9,563,"L_10pp_ROI",0.0817356818729752,0.698950197545042,0.485145261017809,0.647461519350905,NA,19.6286965532525,12.9528126448948,22.3894047533164,15.2127927207339
91,91,"Frontoparietal-40_L-Ctx",255,255,0,255,"L","Frontoparietal",7,410,"L_11l_ROI",-0.199463957801099,-1.93278700614969,0.0542393189523053,0.159114141226098,NA,18.0595993146427,8.82244118893071,17.4494147465969,8.00277055112222
92,92,"Frontoparietal-41_L-Ctx",255,255,0,255,"L","Frontoparietal",7,411,"L_13l_ROI",-0.41784770628554,-4.08568042987916,5.69770691831792e-05,0.00171340631630643,-0.41784770628554,18.1766787620144,7.7783190374708,15.7008043528087,6.45156634397314
93,93,"Default-59_L-Ctx",255,0,0,255,"L","Default",9,564,"L_OFC_ROI",0.149199212768122,1.28999955430957,0.198082078410852,0.363741514831182,NA,10.0836041502487,5.95842193398383,12.1229057317969,7.99846447626339
94,94,"Default-60_L-Ctx",255,0,0,255,"L","Default",9,565,"L_47s_ROI",-0.154222401498699,-1.41152109957984,0.159166712873972,0.313960713855803,NA,17.3764887414734,6.25598601999882,17.2754933634729,6.07456284167269
95,95,"Dorsal-Attention-15_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,318,"L_LIPd_ROI",-0.189206964453416,-1.58920338447032,0.113107826768959,0.252995076698171,NA,22.1908240305463,7.56994029040593,20.646011994192,7.59748844441203
96,96,"Dorsal-Attention-16_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,319,"L_6a_ROI",-0.0731291291725071,-0.675848033779067,0.499677586963941,0.653808319812442,NA,12.6470092698963,4.48510696687655,12.5047240675061,3.87497216213949
97,97,"Frontoparietal-42_L-Ctx",255,255,0,255,"L","Frontoparietal",7,412,"L_i6-8_ROI",-0.27727182142706,-2.3554362630549,0.0191692116579155,0.0786467124680703,NA,17.1252953703723,4.71659582826048,15.8118038304973,4.5538141992622
98,98,"Frontoparietal-43_L-Ctx",255,255,0,255,"L","Frontoparietal",7,413,"L_s6-8_ROI",-0.149511592873033,-1.27144221276148,0.204593671653153,0.373786911569883,NA,17.6217884908588,5.2659728171942,17.1475509339216,5.18510970146167
99,99,"Cingulo-Opercular-43_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,233,"L_43_ROI",0.0364645213195097,0.275863572273869,0.782850007303058,0.854234506449233,NA,17.821481799292,5.94158446868936,18.2887141232474,7.40809711514269
100,100,"Somatomotor-35_L-Ctx",0,255,255,255,"L","Somatomotor",3,167,"L_OP4_ROI",-0.0400941966176878,-0.363451332291563,0.71653347811488,0.81727099726493,NA,17.1576140750405,6.05090586445587,17.1581233485226,5.64430777952316
101,101,"Somatomotor-36_L-Ctx",0,255,255,255,"L","Somatomotor",3,168,"L_OP1_ROI",0.180263423823348,1.56702327983512,0.118203507966246,0.260337787483941,NA,16.0916494096482,6.02847838874324,17.6171149334117,6.29804059970947
102,102,"Somatomotor-37_L-Ctx",0,255,255,255,"L","Somatomotor",3,169,"L_OP2-3_ROI",-0.0438028135230962,-0.395012182070713,0.693125282390892,0.806586633317116,NA,15.1888084820174,5.53741784042303,15.34670366761,5.08706361327304
