"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_1",5596.32403518562,3380.12852260045,4982.01203080945,6264.23246960174,-5.24401657204879,0.565063077256196,0.311367458866951,0.126796516540803,0.273851700071105,0.0241423536204082,0.0107177020491738,0.253124266974908
"lh_2",5801.84944152832,3839.46784210205,5172.42204589844,6342.61985778809,-5.13705822825432,0.582614996284246,0.329083635471761,0.126650743046775,0.265816500410438,0.0218980483710766,0.00876684574177489,0.247784223780036
"lh_3a",6288.52170632102,4771.79408513849,5454.9879128196,6787.33442382813,-4.95673795179887,0.559179502725601,0.295708078687841,0.118870415403084,0.292078383131461,0.022708892009475,0.00971006167713891,0.260924169827591
"lh_6d",5792.89655172414,3385.20281351024,5106.3469995959,6525.11399683459,-5.23419328393607,0.574404462658126,0.263636753990732,0.129437565161236,0.286838582363622,0.0258324586882673,0.00968674698780323,0.284567893579088
"lh_6mp",5877.32952400808,5316.80464909586,4976.5614301703,6382.35325776861,-5.07998093058554,0.565938780816753,0.252832114529074,0.120665691374393,0.299567628442571,0.025931328325794,0.00992851102661886,0.29107472501444
"lh_6v",5542.7749528556,3197.81440261315,4927.48865167026,6279.02806775323,-4.19605862683263,0.580864186944633,0.241559958149647,0.11283049706755,0.328908795940465,0.0252538681801023,0.0135240098461509,0.277922879005301
"lh_p24pr",6317.97998046875,5354.221953125,5232.03986328125,6009.26109375,-1.98934215068817,0.616797368526459,0.252428382635117,0.108426217138767,0.320771725177765,0.0264921909570694,0.0131659615784883,0.278715530633926
"lh_33pr",6189.82290926847,5143.62238103693,4811.01134144176,5673.7284712358,0.315155205401507,0.61735750599341,0.246118313886903,0.106378590518778,0.327896888960492,0.0247118485752832,0.0116683958013627,0.283225953578949
"lh_a24pr",6332.72568359375,5139.80751953125,4999.88908203125,5907.97869140625,-2.70969777584076,0.607930197715759,0.226661705970764,0.103081214427948,0.340089117288589,0.0244578212499619,0.0115904364362359,0.294119699001312
"lh_p32pr",6175.8077002992,4769.56319606051,5074.54609582779,6322.0299098238,-2.36939080218051,0.6082620899728,0.221967891492742,0.104830167077957,0.33752396258902,0.0239902468437844,0.0104966043752242,0.301191130217085
"lh_a24",6405.65467834473,4627.2599029541,5066.96691894531,6229.85572814941,5.19513715803623,0.616293348371983,0.177988391835243,0.0857625065837055,0.344836264848709,0.02331480931025,0.0122437760874163,0.262104247696698
"lh_d32",6163.91345214844,4520.72573852539,4960.28051757812,6524.1594543457,5.63495307415724,0.628795357421041,0.186711173970252,0.0976552392821759,0.368296577595174,0.025221572665032,0.0121320468606427,0.309983390383422
