gene,cor
AK3,0.166336340768493
AK4,0.208418812768116
AK5,0.20334201471401
AK6,-0.040216519818014
AK8,0.209959022371856
AK9,0.0620168536561959
AKAIN1,-0.262808491350657
AKAP1,0.0754654569473398
AKAP10,0.0215007487924652
AKAP11,0.106074336914818
AKAP12,-0.115827107187122
AKAP13,0.037838551867485
AKAP17A,-0.110432184810553
AKAP5,0.19477605714906
AKAP6,-0.0400388114716544
AKAP7,-0.13155143080346
AKAP8,0.0692619122323712
AKAP8L,-0.0534117498330281
AKAP9,-0.0112120843756038
AKIP1,0.0507994348534628
AKIRIN1,0.119793134696801
AKIRIN2,0.115247309696584
AKR1A1,-0.0490841951744475
AKR1B1,-0.00489860986565206
AKR1C1,0.120117164217016
AKR1C3,0.110932126338324
AKR1C4,0.12538459015944
AKR1E2,-0.0602906394211283
AKR7A2,0.168852519611442
AKR7A2P1,-0.0581376175933972
AKR7A3,0.10917774220011
AKR7L,0.168396373316686
AKT1,-0.0919259037491986
AKT1S1,-0.106558249596954
AKT2,-0.149329009559472
AKT3,0.0494888379550362
AKTIP,-0.0200823979618071
ALAD,-0.116547630461034
ALAS1,-0.0826702761277224
ALAS2,0.000769635872627123
ALB,0.0488544991544011
ALCAM,0.130562921409952
ALDH16A1,-0.0264971277079438
ALDH18A1,-0.0629884848400435
ALDH1A1,0.0113738841693199
ALDH1A3,-0.223053518839343
ALDH1B1,-0.120166661857641
ALDH1L1,0.0703840216770895
ALDH1L2,-0.0715355394272899
ALDH2,0.220826460596139
ALDH3A2,-0.0289672367854598
ALDH3B1,-0.00871584596391482
ALDH4A1,0.116056300437817
ALDH5A1,0.095953098780501
ALDH6A1,0.105197273814888
ALDH7A1,0.104245486971556
ALDH8A1,-0.0250645978704079
ALDH9A1,0.177449215480901
ALDOA,0.12255388470237
ALDOC,-0.10200577348119
ALG1,-0.0533164634636968
ALG10,0.0271812165999527
ALG10B,0.0227823835678284
ALG11,-0.0802168026198229
ALG12,-0.0114110094459932
ALG13,-0.0218636024338064
ALG14,-0.0654554297033436
ALG1L,0.155153350387939
ALG2,0.0905771791911639
ALG3,-0.0787589818972411
ALG5,-0.0180160831819508
ALG6,-0.0240288286166374
ALG8,0.0898581531169378
ALG9,0.127503067234743
ALK,0.103595600643734
ALKAL1,0.020891848302219
ALKAL2,0.171452543164409
ALKBH1,-0.045442886246546
ALKBH2,-0.0646880553929923
ALKBH3,-0.0204816683203026
ALKBH4,-0.135366248685837
ALKBH5,0.0130464745525008
ALKBH6,0.0141597132576263
ALKBH7,0.0969205252876133
ALKBH8,-0.0322824057392216
ALMS1,-0.107220023372848
ALMS1P1,-0.0784983492659346
ALOX12B,-0.0593549891710822
ALOX12P2,-0.0677662161954118
ALOX15B,0.103184406374136
ALOX5,0.0078954376866748
ALOX5AP,-0.0206247842232614
ALOXE3,0.0461423965393109
ALPK1,-0.136488184543804
ALPL,0.0678326081872454
ALPP,0.0253396916859983
ALPPL2,0.0314378752642522
ALS2,-0.0289757225391695
ALS2CL,0.00702390319487557
ALS2CR12,-0.073122638174453
ALX3,-0.231754744702114
ALYREF,0.0900564201057252
AMACR,-0.0411663427862654
AMBRA1,-0.0869414014427218
AMD1,-0.10675687797095
AMDHD1,0.000754408311310283
AMDHD2,-0.0738476443304814
AMER1,-0.178145578372978
AMER2,-0.0451190357283591
AMER3,-0.00701300368760942
AMFR,0.122903614814789
AMH,-0.0392793888448554
AMIGO1,-0.107959070691381
AMIGO2,0.216715668933002
AMIGO3,-0.0205342860668664
AMMECR1,-0.185452373226221
